node,dx,dy,tile,px,py,c_o,dim,time
16,16,16,2000,8,8,o,2,0.098
16,16,16,2000,8,8,c,1,0.103
16,16,16,3000,8,8,o,1,0.154
16,16,16,3000,8,8,o,2,0.149
16,16,16,3000,8,8,c,1,0.153
16,16,16,4000,8,8,o,1,0.223
16,16,16,4000,8,8,o,2,0.218
16,16,16,4000,8,8,c,1,0.223
16,32,8,5000,16,4,o,1,0.3095
16,32,8,5000,16,4,o,2,0.296
16,32,8,5000,8,8,c,1,0.312
16,32,8,200,16,4,o,1,0.111
16,32,8,200,16,4,o,2,0.089
16,32,8,200,8,8,c,1,0.106
16,32,8,400,16,4,o,1,0.111
16,32,8,400,16,4,o,2,0.089
16,32,8,400,8,8,c,1,0.105
16,32,8,1000,16,4,o,1,0.109
16,32,8,1000,16,4,o,2,0.088
16,32,8,1000,8,8,c,1,0.103
16,32,8,2000,16,4,o,1,0.106
16,32,8,2000,16,4,o,2,0.092
16,32,8,2000,8,8,c,1,0.103
16,32,8,3000,16,4,o,1,0.1555
16,32,8,3000,16,4,o,2,0.1425
16,32,8,3000,8,8,c,1,0.156
16,32,8,4000,16,4,o,1,0.225
16,32,8,4000,16,4,o,2,0.213
16,32,8,4000,8,8,c,1,0.226
16,64,4,5000,32,2,o,1,0.294
16,64,4,5000,32,2,o,2,0.288
16,64,4,5000,8,8,c,1,0.3255
16,64,4,200,32,2,o,1,0.086
16,64,4,200,32,2,o,2,0.078
16,64,4,200,8,8,c,1,0.105
16,64,4,400,32,2,o,1,0.08549999999999999
16,64,4,400,32,2,o,2,0.077
16,64,4,400,8,8,c,1,0.105
16,64,4,1000,32,2,o,1,0.084
16,64,4,1000,32,2,o,2,0.076
16,64,4,1000,8,8,c,1,0.103
16,64,4,2000,32,2,o,1,0.089
16,64,4,2000,32,2,o,2,0.087
16,64,4,2000,8,8,c,1,0.106
16,64,4,3000,32,2,o,1,0.141
16,64,4,3000,32,2,o,2,0.135
16,64,4,3000,8,8,c,1,0.163
16,64,4,4000,32,2,o,1,0.211
16,64,4,4000,32,2,o,2,0.204
16,64,4,4000,8,8,c,1,0.2375
