node,dx,dy,tile,px,py,c_o,dim,time
8,2,128,2828,1,32,o,1,0.222
8,2,128,2828,8,4,c,1,0.2715
8,2,128,3535,1,32,o,1,0.321
8,2,128,3535,8,4,c,1,0.384
8,4,64,141,1,32,o,1,0.054
8,4,64,141,8,4,c,1,0.098
8,4,64,282,1,32,o,1,0.055
8,4,64,282,8,4,c,1,0.098
8,4,64,707,1,32,o,1,0.055
8,4,64,707,8,4,c,1,0.098
8,4,64,1414,1,32,o,1,0.079
8,4,64,1414,8,4,c,1,0.108
8,4,64,2121,1,32,o,1,0.19
8,4,64,2121,8,4,c,1,0.198
8,4,64,2828,1,32,o,1,0.224
8,4,64,2828,8,4,c,1,0.258
8,4,64,3535,1,32,o,1,0.329
8,4,64,3535,8,4,c,1,0.363
8,8,32,141,2,16,o,1,0.07
8,8,32,141,8,4,c,1,0.098
8,8,32,282,2,16,o,1,0.07
8,8,32,282,8,4,c,1,0.098
8,8,32,707,2,16,o,1,0.069
8,8,32,707,8,4,c,1,0.098
8,8,32,1414,2,16,o,1,0.089
8,8,32,1414,8,4,c,1,0.107
8,8,32,2121,2,16,o,1,0.189
8,8,32,2121,8,4,c,1,0.197
8,8,32,2828,2,16,o,1,0.237
8,8,32,2828,8,4,c,1,0.251
8,8,32,3535,2,16,o,1,0.342
8,8,32,3535,8,4,c,1,0.356
8,16,16,141,4,8,o,1,0.0925
8,16,16,141,4,8,o,2,0.083
8,16,16,141,8,4,c,1,0.098
8,16,16,282,4,8,o,1,0.092
8,16,16,282,4,8,o,2,0.083
8,16,16,282,8,4,c,1,0.098
8,16,16,707,4,8,o,1,0.092
8,16,16,707,4,8,o,2,0.082
8,16,16,707,8,4,c,1,0.098
8,16,16,1414,4,8,o,1,0.106
8,16,16,1414,4,8,o,2,0.097
8,16,16,1414,8,4,c,1,0.107
8,16,16,2121,4,8,o,1,0.199
8,16,16,2121,4,8,o,2,0.187
8,16,16,2121,8,4,c,1,0.195
8,16,16,2828,4,8,o,1,0.257
8,16,16,2828,4,8,o,2,0.244
8,16,16,2828,8,4,c,1,0.25
8,16,16,3535,4,8,o,1,0.367
8,16,16,3535,4,8,o,2,0.351
8,16,16,3535,8,4,c,1,0.355
8,32,8,141,8,4,o,1,0.098
8,32,8,141,8,4,o,2,0.083
8,32,8,141,8,4,c,1,0.098
8,32,8,282,8,4,o,1,0.099
8,32,8,282,8,4,o,2,0.083
8,32,8,282,8,4,c,1,0.098
8,32,8,707,8,4,o,1,0.098
8,32,8,707,8,4,o,2,0.082
8,32,8,707,8,4,c,1,0.098
8,32,8,1414,8,4,o,1,0.109
8,32,8,1414,8,4,o,2,0.097
8,32,8,1414,8,4,c,1,0.109
8,32,8,2121,8,4,o,1,0.197
8,32,8,2121,8,4,o,2,0.189
8,32,8,2121,8,4,c,1,0.196
8,32,8,2828,8,4,o,1,0.258
8,32,8,2828,8,4,o,2,0.242
8,32,8,2828,8,4,c,1,0.258
8,32,8,3535,8,4,o,1,0.367
